"FlowORT_light_continuous","yacht_hydrodynamics_reg.csv",307,6,2,5,1,100.0,6.403300046920776,0.05885054284791169,0.8100336679248488,0.601701774539734,0.05684350244929586,0.8397522400858819,0.6566264124401235,"[True]",5.1541829109191895
"FlowORT_light_continuous","auto-mpg_reg.csv",391,7,2,5,1,100.0,13.318746089935303,0.17749543839195983,0.5200487709986482,0.3812449521978607,0.20605120750721895,0.42619201111861416,0.3073172173161576,"[True]",10.535274028778076
"FlowORT_light_continuous","airfoil_self_noise_reg.csv",1502,5,2,5,1,100.0,26.714174032211304,0.10154237523802094,0.5392051823556435,0.32923571039784627,0.09422021633237615,0.5205480174645598,0.3188265777554661,"[True]",12.943703174591064
"FlowORT_light_continuous","abalone_reg.csv",4176,7,2,5,1,inf,56.6986448764801,0.05786297157345167,0.521049631598008,0.3185562143874553,0.05691209188095428,0.5269709490531466,0.2910067872541878,"[True]",45.90024018287659
"FlowORT_light_continuous","winequality-white_reg.csv",4897,11,2,5,1,inf,110.69569897651672,0.09569065732345484,0.3138895564965043,0.08506028136053967,0.09765005606503331,0.31193032407043564,0.08859947672636004,"[True]",95.3039960861206
"FlowORT_light_continuous","yacht_hydrodynamics_reg.csv",307,6,2,5,3600,100.0,3608.5765221118927,0.010295276775958316,0.9942634723981253,0.9303219601375011,0.015075307702818317,0.9917740429382588,0.9089348427447245,"[True]",7.710713863372803
"FlowORT_light_continuous","auto-mpg_reg.csv",391,7,2,5,3600,100.0,3619.4090371131897,0.14303246256480437,0.48004079966581636,0.501384041114872,0.16583059491385763,0.4584431741786493,0.44252693624703177,"[True]",18.262701988220215
"FlowORT_light_continuous","airfoil_self_noise_reg.csv",1502,5,2,5,3600,100.0,3611.2702460289,0.08701003559731582,0.5863055609420459,0.4252328195112136,0.08944040304669597,0.5154299478592512,0.3533826624285371,"[True]",8.94394302368164
"FlowORT_light_continuous","abalone_reg.csv",4176,7,2,5,3600,100.0,3645.2075419425964,0.05377382514730123,0.5472407647976218,0.36671349606150005,0.05317113568307157,0.5549666538067353,0.3376104608465448,"[True]",36.969635009765625
"FlowORT_light_continuous","winequality-white_reg.csv",4897,11,2,5,3600,100.0,3671.155322790146,0.09271675812584573,0.32369718020559113,0.11349501648755667,0.09560896220954168,0.3118497845885043,0.10764968604428171,"[True]",59.81410622596741
"FlowORT_light_continuous","yacht_hydrodynamics_reg.csv",307,6,2,5,3600,100.0,3600.449389219284,0.014406779695037253,0.9909958126233134,0.9024954654715823,0.01727672080093495,0.9891674621728374,0.895636803731807,"[]",0
"FlowORT_light_continuous","auto-mpg_reg.csv",391,7,2,5,3600,100.0,3600.53569483757,0.18563204897668434,0.5004464121695,0.3528804549639608,0.22193830622494284,0.48853601338368247,0.2539095237544474,"[]",0
"FlowORT_light_continuous","airfoil_self_noise_reg.csv",1502,5,2,5,3600,100.0,3601.837477207184,0.09315392777244796,0.5491945212872301,0.38464775873649115,0.08854712379138266,0.5219843049207484,0.35984070414238034,"[]",0
"FlowORT_light_continuous","abalone_reg.csv",4176,7,2,5,3600,100.0,3605.0984251499176,1.16052078082698,-250575.92558435776,-12.66728414846235,0.05444503938700913,0.5359814282038248,0.321740563080834,"[]",0
"FlowORT_light_continuous","winequality-white_reg.csv",4897,11,2,5,3600,100.0,3608.6918568611145,0.09630833169642117,0.2782203130067191,0.0791544298090936,1.7662253674894257,-124513.87247891224,-15.484770096567896,"[]",0
"FlowORT_light_continuous","yacht_hydrodynamics_reg.csv",307,6,3,5,1,100.0,10.664439678192139,0.0671216006954079,0.756150126643206,0.5457235710446433,0.07232435633950582,0.7411571229051832,0.5631114791632155,"[True]",6.40986704826355
"FlowORT_light_continuous","auto-mpg_reg.csv",391,7,3,5,1,100.0,31.16062617301941,0.1690937334422709,0.5463360797326875,0.4105335772738713,0.19937999182845997,0.4363634286639053,0.32974385725751754,"[True]",25.38404130935669
"FlowORT_light_continuous","airfoil_self_noise_reg.csv",1502,5,3,5,1,100.0,48.03341102600098,0.09589285846126705,0.5810130151683509,0.3665550472606288,0.08992135113945657,0.5580305164369311,0.34990560547600336,"[True]",24.47710347175598
"FlowORT_light_continuous","abalone_reg.csv",4176,7,3,5,1,inf,125.17452025413513,0.05903716394081635,0.5032123307507079,0.3047279219562822,0.058254085159011794,0.5066359271632843,0.27428865066410246,"[True]",85.34859156608582
